Symbol,LTP,%Change,Open,High,Low,Qty.,PClose,Diff.
PMHPL,325.90,-0.94,324.00,334.00,320.00,"10,119",329.00,-3.1
PMLI,460.00,-0.65,460.00,462.00,456.00,"6,233",463.00,-3
PPCL,364.50,0.3,381.50,381.50,351.10,"7,636",363.40,1.1
PPL,334.00,-2.28,324.80,341.30,324.80,"16,636",341.80,-7.8
PRIN,686.00,-1.86,682.10,695.00,681.00,"9,834",699.00,-13
PROFL,453.00,1.8,452.40,465.00,445.10,"22,598",445.00,8
PRSF,12.60,-1.41,12.78,12.78,12.46,"49,261",12.78,-0.18
PRVU,190.80,-0.83,191.40,193.00,189.20,"90,641",192.40,-1.6
PSF,11.81,-2.8,11.80,11.92,11.50,"57,800",12.15,-0.34
PURE,867.00,-0.9,861.00,876.00,843.00,"5,401",874.90,-7.9
RADHI,729.00,-0.8,727.60,730.90,720.30,"56,919",734.90,-5.9
RAWA,455.30,-2.67,458.10,468.40,450.60,"72,751",467.80,-12.5
RBBF40,9.20,-0.11,9.48,9.48,9.20,"3,750",9.21,-0.01
RBCL,"14,399.00",0.27,"14,301.00","14,399.00","14,300.00",50,"14,360.00",39
RBCLPO,"11,400.00",-0.83,"11,350.00","11,500.00","11,300.00",110,"11,494.90",-94.9
RFPL,353.00,0.51,351.20,353.00,346.00,"32,084",351.20,1.8
RHGCL,269.90,-1.46,270.10,273.00,263.00,"33,761",273.90,-4
RHPL,264.10,0.34,258.10,266.00,258.10,"20,376",263.20,0.9
RIDI,342.00,2.09,319.00,342.00,319.00,"241,933",335.00,7
RLEL,887.00,-0.34,880.00,898.00,857.00,"10,346",890.00,-3
RLFL,499.00,2.46,462.70,507.50,462.70,"200,470",487.00,12
RMF1,10.00,-0.2,10.00,10.03,9.74,"5,510",10.02,-0.02
RMF2,9.82,-1.8,9.82,9.82,9.82,100,10.00,-0.18
RNLI,454.80,-0.37,456.00,457.00,450.20,"25,513",456.50,-1.7
RSDC,652.90,-0.32,655.00,655.00,645.10,"8,568",655.00,-2.1
RSML,"3,100.00",-3.09,"3,358.00","3,358.00","3,033.00","23,942","3,199.00",-99
RSY,10.16,0.1,10.16,10.16,10.16,"5,200",10.15,0.01
RURU,642.50,-0.54,640.00,647.00,639.00,"3,642",646.00,-3.5
SABBL,967.70,-1.86,986.00,999.30,945.50,"13,935",986.00,-18.3
SADBL,403.60,-1.08,405.00,405.00,396.00,"31,613",408.00,-4.4
SAGAR,"1,593.00",1.14,"1,580.00","1,596.00","1,504.00","17,989","1,575.00",18
SAGF,10.01,-0.99,10.10,10.11,10.01,"6,200",10.11,-0.1
SAHAS,642.80,-1.41,650.00,658.80,635.00,"171,685",652.00,-9.2
SAIL,971.00,-3.09,"1,020.00","1,020.00",941.10,"31,648","1,002.00",-31
SALICO,599.00,-0.68,591.10,600.00,590.00,"3,261",603.10,-4.1
SANIMA,349.40,-1.3,354.50,355.00,346.00,"121,598",354.00,-4.6
SANVI,673.90,1.31,655.10,673.90,646.50,"15,193",665.20,8.7
SAPDBL,854.90,1.8,830.00,940.00,776.00,"134,189",839.80,15.1
SARBTM,816.20,-0.21,820.00,828.20,810.00,"8,690",817.90,-1.7
SBCF,10.00,-0.89,9.79,10.09,9.79,"32,900",10.09,-0.09
SBI,391.70,-0.56,405.00,405.00,387.10,"26,633",393.90,-2.2
SBID89,"1,138.18",0,"1,138.18","1,138.18","1,138.18",10,"1,138.20",-0.02
SBL,391.50,-0.38,394.50,394.80,386.00,"134,543",393.00,-1.5
SBLD84,"1,068.00",0.08,"1,068.00","1,068.00","1,068.00",22,"1,067.10",0.9
SCB,640.10,-0.84,644.30,644.30,639.50,"46,033",645.50,-5.4
SDBD87,"1,115.00",-0.45,"1,116.00","1,116.00","1,115.00",55,"1,120.00",-5
SEF,10.30,-0.87,10.30,10.30,10.20,"3,221",10.39,-0.09
SFCL,371.00,0.27,375.00,376.00,369.00,"6,501",370.00,1
SFEF,10.10,1,10.00,10.10,10.00,"20,800",10.00,0.1
SGHC,343.90,-0.89,355.00,355.00,337.00,"14,055",347.00,-3.1
SGIC,473.50,0.7,468.30,473.70,467.10,"10,307",470.20,3.3
SHEL,302.00,0.2,316.00,316.00,297.30,"74,968",301.40,0.6
SHINE,405.50,0.15,405.00,406.00,403.20,"20,104",404.90,0.6
SHINED,"1,100.00",0.46,"1,100.00","1,100.00","1,100.00",200,"1,095.00",5
SHIVM,630.00,-0.79,666.00,666.00,624.00,"166,650",635.00,-5
SHL,494.90,0.53,490.00,494.90,488.10,"18,141",492.30,2.6
SHLB,"1,435.00",-2.31,"1,436.00","1,460.00","1,395.00",565,"1,469.00",-34
SHPC,495.30,-1.33,527.00,527.00,491.00,"29,751",502.00,-6.7
SICL,615.70,-0.53,619.00,620.00,614.00,"2,823",619.00,-3.3
SIFC,552.90,-0.2,547.00,558.00,540.50,"21,188",554.00,-1.1
SIGS2,10.22,-1.73,10.25,10.25,10.22,"1,000",10.40,-0.18
SIKLES,561.30,-1.41,597.00,597.00,560.00,"12,090",569.30,-8
SINDU,708.00,-1.52,710.00,719.50,703.00,"5,360",718.90,-10.9
SIPD,690.00,-0.72,680.00,700.00,651.00,"21,774",695.00,-5
SJCL,278.00,-2.11,279.00,285.50,275.00,"16,705",284.00,-6
SJLIC,422.60,0.38,429.00,444.90,420.00,"23,840",421.00,1.6
SKBBL,756.80,-0.09,757.50,765.00,749.50,"15,361",757.50,-0.7
SKHEL,"1,038.00",-1.8,"1,005.00","1,056.00","1,005.00","3,042","1,057.00",-19
SKHL,937.00,2.85,900.00,937.00,860.00,"34,743",911.00,26
SLBBL,815.00,-0.02,815.20,819.00,810.00,"6,331",815.20,-0.2
